Date,State,Total,Year,Month,WeekOfYear,DayOfWeek,IsHoliday,Lag_1,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2019-01-13,Alabama,0.11689685336192943,0.0,0.0,0.019230769230769232,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-01-20,Alabama,0.11689685336192943,0.0,0.0,0.038461538461538464,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-01-27,Alabama,0.11689685336192943,0.0,0.0,0.057692307692307696,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-02-03,Alabama,0.11689685336192943,0.0,0.09090909090909091,0.07692307692307693,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-02-10,Alabama,0.11689685336192943,0.0,0.09090909090909091,0.09615384615384616,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-02-17,Alabama,0.11689685336192943,0.0,0.09090909090909091,0.1153846153846154,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-02-24,Alabama,0.11689685336192943,0.0,0.09090909090909091,0.13461538461538464,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-03-03,Alabama,0.11689685336192943,0.0,0.1818181818181818,0.15384615384615385,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-03-10,Alabama,0.11689685336192943,0.0,0.1818181818181818,0.17307692307692307,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
2019-03-17,Alabama,0.11689685336192943,0.0,0.1818181818181818,0.19230769230769235,0.0,0.0,0.11689685336192943,0.11689685336192943,0.11689685336192943,0.11985238870116863,0.0,0.12489555644468947
